County or equivalent,State or equivalent,Population (2020 census),Area (mi^2),Core-based statistical area
Brule,South Dakota,"5,247",819,
Buffalo,South Dakota,"1,948",471,
Butte,South Dakota,"10,243",2249,
Campbell,South Dakota,"1,377",736,
Charles Mix,South Dakota,"9,373",1098,
Clark,South Dakota,"3,837",958,
Clay,South Dakota,"14,967",412,"Vermillion, SD Micropolitan Statistical Area"
Codington,South Dakota,"28,325",688,"Watertown, SD Micropolitan Statistical Area"
Corson,South Dakota,"3,902",2473,
Custer,South Dakota,"8,318",1558,
Davison,South Dakota,"19,956",436,"Mitchell, SD Micropolitan Statistical Area"
Day,South Dakota,"5,449",1029,
Deuel,South Dakota,"4,295",624,
Dewey,South Dakota,"5,239",2303,
Douglas,South Dakota,"2,835",434,
Edmunds,South Dakota,"3,986",1146,"Aberdeen, SD Micropolitan Statistical Area"
Fall River,South Dakota,"6,973",1740,
Faulk,South Dakota,"2,125",1000,
Grant,South Dakota,"7,556",682,
Gregory,South Dakota,"3,994",1016,
Haakon,South Dakota,"1,872",1813,
Hamlin,South Dakota,"6,164",511,"Watertown, SD Micropolitan Statistical Area"
Hand,South Dakota,"3,145",1437,
Hanson,South Dakota,"3,461",435,"Mitchell, SD Micropolitan Statistical Area"
Harding,South Dakota,"1,311",2671,
Hughes,South Dakota,"17,765",741,"Pierre, SD Micropolitan Statistical Area"
Hutchinson,South Dakota,"7,427",813,
Hyde,South Dakota,"1,262",861,
Jackson,South Dakota,"2,806",1869,
Jerauld,South Dakota,"1,663",530,"Huron, SD Micropolitan Statistical Area"
Jones,South Dakota,917,971,
Kingsbury,South Dakota,"5,187",838,
Lake,South Dakota,"11,059",563,
Lawrence,South Dakota,"25,768",800,"Spearfish, SD Micropolitan Statistical Area"
Lincoln,South Dakota,"65,161",578,"Sioux Falls, SD Metropolitan Statistical Area"
Lyman,South Dakota,"3,718",1640,
Marshall,South Dakota,"4,306",1137,
McCook,South Dakota,"5,682",839,"Sioux Falls, SD Metropolitan Statistical Area"
McPherson,South Dakota,"2,411",575,
Meade,South Dakota,"29,852",3471,"Rapid City, SD Metropolitan Statistical Area"
Mellette,South Dakota,"1,918",1307,
Miner,South Dakota,"2,298",570,
Minnehaha,South Dakota,"197,214",809,"Sioux Falls, SD Metropolitan Statistical Area"
Moody,South Dakota,"6,336",520,
Oglala Lakota,South Dakota,"13,672",2094,
Pennington,South Dakota,"109,222",2776,"Rapid City, SD Metropolitan Statistical Area"
Perkins,South Dakota,"2,835",2872,
Potter,South Dakota,"2,472",866,
Roberts,South Dakota,"10,280",1101,
Sanborn,South Dakota,"2,330",569,
Spink,South Dakota,"6,361",1504,
Stanley,South Dakota,"2,980",1443,"Pierre, SD Micropolitan Statistical Area"
Sully,South Dakota,"1,446",1007,
Todd,South Dakota,"9,319",1388,
Tripp,South Dakota,"5,624",1614,
Turner,South Dakota,"8,673",617,"Sioux Falls, SD Metropolitan Statistical Area"
Union,South Dakota,"16,811",460,"Sioux City, IA-NE-SD Metropolitan Statistical Area"
Walworth,South Dakota,"5,315",708,
Yankton,South Dakota,"23,310",522,"Yankton, SD Micropolitan Statistical Area"
Ziebach,South Dakota,"2,413",1962,
Anderson,Tennessee,"77,123",338,"Knoxville, TN Metropolitan Statistical Area"
Bedford,Tennessee,"50,237",474,"Shelbyville, TN Micropolitan Statistical Area"
Benton,Tennessee,"15,864",394,
Bledsoe,Tennessee,"14,913",406,
Blount,Tennessee,"135,280",559,"Knoxville, TN Metropolitan Statistical Area"
Bradley,Tennessee,"108,620",329,"Cleveland, TN Metropolitan Statistical Area"
Campbell,Tennessee,"39,272",480,"Knoxville, TN Metropolitan Statistical Area"
Cannon,Tennessee,"14,506",266,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Carroll,Tennessee,"28,440",599,
Carter,Tennessee,"56,356",341,"Johnson City, TN Metropolitan Statistical Area"
Cheatham,Tennessee,"41,072",303,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Chester,Tennessee,"17,341",289,"Jackson, TN Metropolitan Statistical Area"
Claiborne,Tennessee,"32,043",434,
Clay,Tennessee,"7,581",236,
Cocke,Tennessee,"35,999",434,"Newport, TN Micropolitan Statistical Area"
Coffee,Tennessee,"57,889",429,"Tullahoma-Manchester, TN Micropolitan Statistical Area"
Crockett,Tennessee,"13,911",265,"Jackson, TN Metropolitan Statistical Area"
Cumberland,Tennessee,"61,145",682,"Crossville, TN Micropolitan Statistical Area"
Davidson,Tennessee,"715,884",502,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Decatur,Tennessee,"11,435",333,
DeKalb,Tennessee,"20,080",304,
Dickson,Tennessee,"54,315",490,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Dyer,Tennessee,"36,801",510,"Dyersburg, TN Micropolitan Statistical Area"
Fayette,Tennessee,"41,990",705,"Memphis, TN-MS-AR Metropolitan Statistical Area"
Fentress,Tennessee,"18,489",499,
Franklin,Tennessee,"42,774",553,"Tullahoma-Manchester, TN Micropolitan Statistical Area"
Gibson,Tennessee,"50,429",603,"Jackson, TN Metropolitan Statistical Area"
Giles,Tennessee,"30,346",611,
Grainger,Tennessee,"23,527",280,"Morristown, TN Metropolitan Statistical Area"
Greene,Tennessee,"70,152",622,"Greeneville, TN Micropolitan Statistical Area"
Grundy,Tennessee,"13,529",361,
Hamblen,Tennessee,"64,499",161,"Morristown, TN Metropolitan Statistical Area"
Hamilton,Tennessee,"366,207",543,"Chattanooga, TN-GA Metropolitan Statistical Area"
Hancock,Tennessee,"6,662",222,
Hardeman,Tennessee,"25,462",668,
Hardin,Tennessee,"26,831",578,
Hawkins,Tennessee,"56,721",487,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area"
Haywood,Tennessee,"17,864",533,"Brownsville, TN Micropolitan Statistical Area"
Henderson,Tennessee,"27,842",520,
Henry,Tennessee,"32,199",562,"Paris, TN Micropolitan Statistical Area"
Hickman,Tennessee,"24,925",613,
Houston,Tennessee,"8,283",200,
Humphreys,Tennessee,"18,990",532,
Jackson,Tennessee,"11,617",309,"Cookeville, TN Micropolitan Statistical Area"
Jefferson,Tennessee,"54,683",274,"Morristown, TN Metropolitan Statistical Area"
Johnson,Tennessee,"17,948",299,
Knox,Tennessee,"478,971",509,"Knoxville, TN Metropolitan Statistical Area"
Lake,Tennessee,"7,005",163,
Lauderdale,Tennessee,"25,143",470,
Lawrence,Tennessee,"44,159",617,"Lawrenceburg, TN Micropolitan Statistical Area"
Lewis,Tennessee,"12,582",282,
Lincoln,Tennessee,"35,319",570,
Loudon,Tennessee,"54,886",229,"Knoxville, TN Metropolitan Statistical Area"
Macon,Tennessee,"25,216",500,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Madison,Tennessee,"98,823",375,"Jackson, TN Metropolitan Statistical Area"
Marion,Tennessee,"28,837",613,"Chattanooga, TN-GA Metropolitan Statistical Area"
Marshall,Tennessee,"34,318",430,"Lewisburg, TN Micropolitan Statistical Area"
Maury,Tennessee,"100,974",560,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
McMinn,Tennessee,"53,276",307,"Athens, TN Micropolitan Statistical Area"
McNairy,Tennessee,"25,866",557,
Meigs,Tennessee,"12,758",195,
Monroe,Tennessee,"46,250",635,
Montgomery,Tennessee,"220,069",539,"Clarksville, TN-KY Metropolitan Statistical Area"
Moore,Tennessee,"6,461",129,"Tullahoma-Manchester, TN Micropolitan Statistical Area"
Morgan,Tennessee,"21,035",522,"Knoxville, TN Metropolitan Statistical Area"
Obion,Tennessee,"30,787",545,"Union City, TN Micropolitan Statistical Area"
Overton,Tennessee,"22,511",433,"Cookeville, TN Micropolitan Statistical Area"
Perry,Tennessee,"8,366",415,
Pickett,Tennessee,"5,001",163,
Polk,Tennessee,"17,544",435,"Cleveland, TN Metropolitan Statistical Area"
Putnam,Tennessee,"79,854",401,"Cookeville, TN Micropolitan Statistical Area"
Rhea,Tennessee,"32,870",316,"Dayton, TN Micropolitan Statistical Area"
Roane,Tennessee,"53,404",361,"Knoxville, TN Metropolitan Statistical Area"
Robertson,Tennessee,"72,803",477,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Rutherford,Tennessee,"341,486",619,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Scott,Tennessee,"21,850",532,
Sequatchie,Tennessee,"15,826",266,"Chattanooga, TN-GA Metropolitan Statistical Area"
Sevier,Tennessee,"98,380",592,"Sevierville, TN Micropolitan Statistical Area"
Shelby,Tennessee,"929,744",755,"Memphis, TN-MS-AR Metropolitan Statistical Area"
Smith,Tennessee,"19,904",314,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Stewart,Tennessee,"13,657",458,"Clarksville, TN-KY Metropolitan Statistical Area"
Sullivan,Tennessee,"158,163",413,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area"
Sumner,Tennessee,"196,281",529,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Tipton,Tennessee,"60,970",459,"Memphis, TN-MS-AR Metropolitan Statistical Area"
Trousdale,Tennessee,"11,615",114,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Unicoi,Tennessee,"17,928",186,"Johnson City, TN Metropolitan Statistical Area"
Union,Tennessee,"19,802",224,"Knoxville, TN Metropolitan Statistical Area"
Van Buren,Tennessee,"6,168",247,
Warren,Tennessee,"40,953",433,"McMinnville, TN Micropolitan Statistical Area"
Washington,Tennessee,"133,001",326,"Johnson City, TN Metropolitan Statistical Area"
Wayne,Tennessee,"16,232",734,
Weakley,Tennessee,"32,902",580,"Martin, TN Micropolitan Statistical Area"
White,Tennessee,"27,351",377,
Williamson,Tennessee,"247,726",582,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Wilson,Tennessee,"147,737",571,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area"
Anderson,Texas,"57,922",1071,"Palestine, TX Micropolitan Statistical Area"
Andrews,Texas,"18,610",1501,"Andrews, TX Micropolitan Statistical Area"
Angelina,Texas,"86,395",802,"Lufkin, TX Micropolitan Statistical Area"
Aransas,Texas,"23,830",252,"Rockport, TX Micropolitan Statistical Area"
Archer,Texas,"8,560",910,"Wichita Falls, TX Metropolitan Statistical Area"
Armstrong,Texas,"1,848",914,"Amarillo, TX Metropolitan Statistical Area"
Atascosa,Texas,"48,981",1232,"San Antonio-New Braunfels, TX Metropolitan Statistical Area"
Austin,Texas,"30,167",653,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Bailey,Texas,"6,904",827,
Bandera,Texas,"20,851",792,"San Antonio-New Braunfels, TX Metropolitan Statistical Area"
Bastrop,Texas,"97,216",888,"Austin-Round Rock, TX Metropolitan Statistical Area"
Baylor,Texas,"3,465",871,
Bee,Texas,"31,047",880,"Beeville, TX Micropolitan Statistical Area"
Bell,Texas,"370,647",1059,"Killeen-Temple, TX Metropolitan Statistical Area"
Bexar,Texas,"2,009,324",1247,"San Antonio-New Braunfels, TX Metropolitan Statistical Area"
Blanco,Texas,"11,374",711,
Borden,Texas,631,899,
Bosque,Texas,"18,235",989,
Bowie,Texas,"92,893",888,"Texarkana, TX-AR Metropolitan Statistical Area"
Brazoria,Texas,"372,031",1387,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Brazos,Texas,"233,849",586,"College Station-Bryan, TX Metropolitan Statistical Area"
Brewster,Texas,"9,546",6193,
Briscoe,Texas,"1,435",900,
Brooks,Texas,"7,076",943,
Brown,Texas,"38,095",944,"Brownwood, TX Micropolitan Statistical Area"
Burleson,Texas,"17,642",666,"College Station-Bryan, TX Metropolitan Statistical Area"
Burnet,Texas,"49,130",995,
Caldwell,Texas,"45,883",546,"Austin-Round Rock, TX Metropolitan Statistical Area"
Calhoun,Texas,"20,106",512,"Port Lavaca, TX Micropolitan Statistical Area"
Callahan,Texas,"13,708",899,"Abilene, TX Metropolitan Statistical Area"
Cameron,Texas,"421,017",906,"Brownsville-Harlingen, TX Metropolitan Statistical Area"
Camp,Texas,"12,464",1998,"Mount Pleasant, TX Micropolitan Statistical Area"
Carson,Texas,"5,807",923,"Amarillo, TX Metropolitan Statistical Area"
Cass,Texas,"28,454",938,
Castro,Texas,"7,371",898,
Chambers,Texas,"46,571",599,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Cherokee,Texas,"50,412",1052,"Jacksonville, TX Micropolitan Statistical Area"
Childress,Texas,"6,664",710,
Clay,Texas,"10,218",1098,"Wichita Falls, TX Metropolitan Statistical Area"
Cochran,Texas,"2,547",775,
Coke,Texas,"3,285",899,
Coleman,Texas,"7,684",1273,
Collin,Texas,"1,064,465",848,"Dallas–Fort Worth–Arlington, TX Metropolitan Statistical Area"
Collingsworth,Texas,"2,652",919,
Colorado,Texas,"20,557",963,
Comal,Texas,"161,501",562,"San Antonio-New Braunfels, TX Metropolitan Statistical Area"
Comanche,Texas,"13,594",938,
Concho,Texas,"3,303",992,
Cooke,Texas,"41,668",94,"Gainesville, TX Micropolitan Statistical Area"
Coryell,Texas,"83,093",1052,"Killeen-Temple, TX Metropolitan Statistical Area"
Cottle,Texas,"1,380",901,
Crane,Texas,"4,675",786,
Crockett,Texas,"3,098",2808,
Crosby,Texas,"5,133",900,"Lubbock, TX Metropolitan Statistical Area"
Culberson,Texas,"2,188",3813,
Dallam,Texas,"7,115",1505,
Dallas,Texas,"2,613,539",880,"Dallas–Fort Worth–Arlington, TX Metropolitan Statistical Area"
Dawson,Texas,"12,456",902,"Lamesa, TX Micropolitan Statistical Area"
Deaf Smith,Texas,"18,583",1497,"Hereford, TX Micropolitan Statistical Area"
Delta,Texas,"5,230",277,
Denton,Texas,"906,422",888,"Dallas–Fort Worth–Arlington, TX Metropolitan Statistical Area"
DeWitt,Texas,"19,824",909,
Dickens,Texas,"1,770",904,
Dimmit,Texas,"8,615",1331,
Donley,Texas,"3,258",930,
Duval,Texas,"9,831",1793,"Alice, TX Micropolitan Statistical Area"
Eastland,Texas,"17,725",926,
Ector,Texas,"165,171",901,"Odessa, TX Metropolitan Statistical Area"
Edwards,Texas,"1,422",2120,
El Paso,Texas,"865,657",1013,"El Paso, TX Metropolitan Statistical Area"
Ellis,Texas,"192,455",940,"Dallas–Fort Worth–Arlington, TX Metropolitan Statistical Area"
Erath,Texas,"42,545",1086,"Stephenville, TX Micropolitan Statistical Area"
Falls,Texas,"16,968",769,"Waco, TX Metropolitan Statistical Area"
Fannin,Texas,"35,662",892,"Bonham, TX Micropolitan Statistical Area"
Fayette,Texas,"24,435",950,
Fisher,Texas,"3,672",901,
Floyd,Texas,"5,402",992,
Foard,Texas,"1,095",707,
Fort Bend,Texas,"822,779",875,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Franklin,Texas,"10,359",286,
Freestone,Texas,"19,435",885,
Frio,Texas,"18,385",1133,"Pearsall, TX Micropolitan Statistical Area"
Gaines,Texas,"21,598",1502,
Galveston,Texas,"350,682",399,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Garza,Texas,"5,816",896,
Gillespie,Texas,"26,725",1061,"Fredericksburg, TX Micropolitan Statistical Area"
Glasscock,Texas,"1,116",901,
Goliad,Texas,"7,012",854,"Victoria, TX Metropolitan Statistical Area"
Gonzales,Texas,"19,653",1068,
Gray,Texas,"21,227",928,"Pampa, TX Micropolitan Statistical Area"
Grayson,Texas,"135,543",934,"Sherman-Denison, TX Metropolitan Statistical Area"
Gregg,Texas,"124,239",274,"Longview, TX Metropolitan Statistical Area"
Grimes,Texas,"29,268",794,
Guadalupe,Texas,"172,706",711,"San Antonio-New Braunfels, TX Metropolitan Statistical Area"
Hale,Texas,"32,522",1005,"Plainview, TX Micropolitan Statistical Area"
Hall,Texas,"2,825",903,
Hamilton,Texas,"8,222",836,
Hansford,Texas,"5,285",920,
Hardeman,Texas,"3,549",695,
Hardin,Texas,"56,231",894,"Beaumont-Port Arthur, TX Metropolitan Statistical Area"
Harris,Texas,"4,731,145",1729,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Harrison,Texas,"68,839",899,"Longview, TX Metropolitan Statistical Area"
Hartley,Texas,"5,382",1462,
Haskell,Texas,"5,416",903,
Hays,Texas,"241,067",678,"Austin-Round Rock, TX Metropolitan Statistical Area"
Hemphill,Texas,"3,382",910,
Henderson,Texas,"82,150",874,"Athens, TX Micropolitan Statistical Area"
Hidalgo,Texas,"870,781",1569,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area"
Hill,Texas,"35,874",962,
Hockley,Texas,"21,537",908,"Levelland, TX Micropolitan Statistical Area"
Hood,Texas,"61,598",422,"Granbury, TX Micropolitan Statistical Area"
Hopkins,Texas,"36,787",785,"Sulphur Springs, TX Micropolitan Statistical Area"
Houston,Texas,"22,066",1231,
Howard,Texas,"34,860",903,"Big Spring, TX Micropolitan Statistical Area"
Hudspeth,Texas,"3,202",4571,"El Paso, TX Metropolitan Statistical Area"
Hunt,Texas,"99,956",841,"Dallas–Fort Worth–Arlington, TX Metropolitan Statistical Area"
Hutchinson,Texas,"20,617",887,"Borger, TX Micropolitan Statistical Area"
Irion,Texas,"1,513",1052,"San Angelo, TX Metropolitan Statistical Area"
Jack,Texas,"8,472",917,
Jackson,Texas,"14,988",830,
Jasper,Texas,"32,980",938,
Jeff Davis,Texas,"1,996",2265,
Jefferson,Texas,"256,526",904,"Beaumont-Port Arthur, TX Metropolitan Statistical Area"
Jim Hogg,Texas,"4,838",1136,
Jim Wells,Texas,"38,891",865,"Alice, TX Micropolitan Statistical Area"
Johnson,Texas,"179,927",729,"Dallas–Fort Worth–Arlington, TX Metropolitan Statistical Area"
Jones,Texas,"19,663",931,"Abilene, TX Metropolitan Statistical Area"
Karnes,Texas,"14,710",750,
Kaufman,Texas,"145,310",786,"Dallas–Fort Worth–Arlington, TX Metropolitan Statistical Area"
Kendall,Texas,"44,279",662,"San Antonio-New Braunfels, TX Metropolitan Statistical Area"
Kenedy,Texas,350,1457,"Kingsville, TX Micropolitan Statistical Area"
Kent,Texas,753,902,
Kerr,Texas,"52,598",1106,"Kerrville, TX Micropolitan Statistical Area"
Kimble,Texas,"4,286",1251,
King,Texas,265,912,
Kinney,Texas,"3,129",1364,
Kleberg,Texas,"31,040",871,"Kingsville, TX Micropolitan Statistical Area"
Knox,Texas,"3,353",854,
La Salle,Texas,"6,664",1489,
Lamar,Texas,"50,088",917,"Paris, TX Micropolitan Statistical Area"
Lamb,Texas,"13,045",1016,
Lampasas,Texas,"21,627",712,"Killeen-Temple, TX Metropolitan Statistical Area"
Lavaca,Texas,"20,337",970,
Lee,Texas,"17,478",629,
Leon,Texas,"15,719",1072,
Liberty,Texas,"91,628",1160,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Limestone,Texas,"22,146",909,
Lipscomb,Texas,"3,059",932,
Live Oak,Texas,"11,335",1036,
Llano,Texas,"21,243",935,
Loving,Texas,64,673,"Pecos, TX Micropolitan Statistical Area"
Lubbock,Texas,"310,639",900,"Lubbock, TX Metropolitan Statistical Area"
Lynn,Texas,"5,596",892,"Lubbock, TX Metropolitan Statistical Area"
Madison,Texas,"13,455",472,
Marion,Texas,"9,725",381,
Martin,Texas,"5,237",915,"Midland, TX Metropolitan Statistical Area"
Mason,Texas,"3,953",932,
Matagorda,Texas,"36,255",1114,"Bay City, TX Micropolitan Statistical Area"
Maverick,Texas,"57,887",1280,"Eagle Pass, TX Micropolitan Statistical Area"
McCulloch,Texas,"7,630",1069,
McLennan,Texas,"260,579",1042,"Waco, TX Metropolitan Statistical Area"
McMullen,Texas,600,1113,
Medina,Texas,"50,748",1328,"San Antonio-New Braunfels, TX Metropolitan Statistical Area"
Menard,Texas,"1,962",902,
Midland,Texas,"169,983",900,"Midland, TX Metropolitan Statistical Area"
Milam,Texas,"24,754",1017,
Mills,Texas,"4,456",748,
Mitchell,Texas,"8,990",910,
Montague,Texas,"19,965",931,
Montgomery,Texas,"620,443",1044,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Moore,Texas,"21,358",900,"Dumas, TX Micropolitan Statistical Area"
Morris,Texas,"11,973",254,
Motley,Texas,"1,063",989,
Nacogdoches,Texas,"64,653",947,"Nacogdoches, TX Micropolitan Statistical Area"
Navarro,Texas,"52,624",1071,"Corsicana, TX Micropolitan Statistical Area"
Newton,Texas,"12,217",933,
Nolan,Texas,"14,738",912,"Sweetwater, TX Micropolitan Statistical Area"
Nueces,Texas,"353,178",836,"Corpus Christi, TX Metropolitan Statistical Area"
Ochiltree,Texas,"10,015",918,
Oldham,Texas,"1,758",1501,"Amarillo, TX Metropolitan Statistical Area"
Orange,Texas,"84,808",356,"Beaumont-Port Arthur, TX Metropolitan Statistical Area"
Palo Pinto,Texas,"28,409",953,"Mineral Wells, TX Micropolitan Statistical Area"
Panola,Texas,"22,491",801,
Parker,Texas,"148,222",904,"Dallas–Fort Worth–Arlington, TX Metropolitan Statistical Area"
Parmer,Texas,"9,869",882,
Pecos,Texas,"15,193",4764,
Polk,Texas,"50,123",1057,
Potter,Texas,"118,525",909,"Amarillo, TX Metropolitan Statistical Area"
Presidio,Texas,"6,131",3856,
Rains,Texas,"12,164",259,
Randall,Texas,"140,753",914,"Amarillo, TX Metropolitan Statistical Area"
Reagan,Texas,"3,385",1175,
Real,Texas,"2,758",700,
Red River,Texas,"11,587",1050,
Reeves,Texas,"14,748",2636,"Pecos, TX Micropolitan Statistical Area"
Refugio,Texas,"6,741",770,
Roberts,Texas,827,924,"Pampa, TX Micropolitan Statistical Area"
Robertson,Texas,"16,757",855,"College Station-Bryan, TX Metropolitan Statistical Area"
Rockwall,Texas,"107,819",149,"Dallas–Fort Worth–Arlington, TX Metropolitan Statistical Area"
Runnels,Texas,"9,900",1054,
Rusk,Texas,"52,214",924,"Longview, TX Metropolitan Statistical Area"
Sabine,Texas,"9,894",490,
San Augustine,Texas,"7,918",528,
San Jacinto,Texas,"27,402",571,
San Patricio,Texas,"68,755",692,"Corpus Christi, TX Metropolitan Statistical Area"
San Saba,Texas,"5,730",1134,
Schleicher,Texas,"2,451",1311,
Scurry,Texas,"16,932",903,"Snyder, TX Micropolitan Statistical Area"
Shackelford,Texas,"3,105",914,
Shelby,Texas,"24,022",794,
Sherman,Texas,"2,782",923,
Smith,Texas,"233,479",928,"Tyler, TX Metropolitan Statistical Area"
Somervell,Texas,"9,205",187,
Starr,Texas,"65,920",1223,"Rio Grande City, TX Micropolitan Statistical Area"
Stephens,Texas,"9,101",895,
Sterling,Texas,"1,372",923,"San Angelo, TX Metropolitan Statistical Area"
Stonewall,Texas,"1,245",919,
Sutton,Texas,"3,372",1454,
Swisher,Texas,"6,971",900,
Tarrant,Texas,"2,110,640",864,"Dallas–Fort Worth–Arlington, TX Metropolitan Statistical Area"
Taylor,Texas,"143,208",916,"Abilene, TX Metropolitan Statistical Area"
Terrell,Texas,760,2358,
Terry,Texas,"11,831",890,
Throckmorton,Texas,"1,440",912,
Titus,Texas,"31,247",411,"Mount Pleasant, TX Micropolitan Statistical Area"
Tom Green,Texas,"120,003",1522,"San Angelo, TX Metropolitan Statistical Area"
Travis,Texas,"1,290,188",989,"Austin-Round Rock, TX Metropolitan Statistical Area"
Trinity,Texas,"13,602",693,
Tyler,Texas,"19,798",923,
Upshur,Texas,"40,892",588,"Longview, TX Metropolitan Statistical Area"
Upton,Texas,"3,308",1242,
Uvalde,Texas,"24,564",1557,"Uvalde, TX Micropolitan Statistical Area"
Val Verde,Texas,"47,586",3171,"Del Rio, TX Micropolitan Statistical Area"
Van Zandt,Texas,"59,541",849,
Victoria,Texas,"91,319",883,"Victoria, TX Metropolitan Statistical Area"
Walker,Texas,"76,400",788,"Huntsville, TX Micropolitan Statistical Area"
Waller,Texas,"56,794",514,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Ward,Texas,"11,644",836,
Washington,Texas,"35,805",609,"Brenham, TX Micropolitan Statistical Area"
Webb,Texas,"267,114",3357,"Laredo, TX Metropolitan Statistical Area"
Wharton,Texas,"41,570",1090,"El Campo, TX Micropolitan Statistical Area"
Wheeler,Texas,"4,990",914,
Wichita,Texas,"129,350",628,"Wichita Falls, TX Metropolitan Statistical Area"
Wilbarger,Texas,"12,887",971,"Vernon, TX Micropolitan Statistical Area"
Willacy,Texas,"20,164",597,"Raymondville, TX Micropolitan Statistical Area"
Williamson,Texas,"609,017",1124,"Austin-Round Rock, TX Metropolitan Statistical Area"
Wilson,Texas,"49,753",807,"San Antonio-New Braunfels, TX Metropolitan Statistical Area"
Winkler,Texas,"7,791",841,
Wise,Texas,"68,632",905,"Dallas–Fort Worth–Arlington, TX Metropolitan Statistical Area"
Wood,Texas,"44,843",650,
Yoakum,Texas,"7,694",800,
Young,Texas,"17,867",922,
Zapata,Texas,"13,889",997,"Zapata, TX Micropolitan Statistical Area"
Zavala,Texas,"9,670",1299,
Bajo Nuevo Bank,U.S. Minor Outlying Islands,0,0.01,
Baker Island,U.S. Minor Outlying Islands,0,0.58,
Howland Island,U.S. Minor Outlying Islands,0,0.62,
Jarvis Island,U.S. Minor Outlying Islands,0,1.7,
Johnston Atoll,U.S. Minor Outlying Islands,0,1.02,
Kingman Reef,U.S. Minor Outlying Islands,0,0.01,
Midway Islands,U.S. Minor Outlying Islands,40,2.4,
Navassa Island,U.S. Minor Outlying Islands,0,2.1,
Palmyra Atoll,U.S. Minor Outlying Islands,20,4.59,
Serranilla Bank,U.S. Minor Outlying Islands,0,0.01,
Wake Island,U.S. Minor Outlying Islands,100,2.5,
Beaver,Utah,"7,072",2592,
Box Elder,Utah,"57,666",6729,"Ogden-Clearfield, UT Metropolitan Statistical Area"
Cache,Utah,"133,154",1173,"Logan, UT-ID Metropolitan Statistical Area"
Carbon,Utah,"20,412",1485,"Price, UT Micropolitan Statistical Area"
Daggett,Utah,935,721,
Davis,Utah,"362,679",634,"Ogden-Clearfield, UT Metropolitan Statistical Area"
Duchesne,Utah,"19,596",3256,
Emery,Utah,"9,825",4472,
Garfield,Utah,"5,083",5208,
Grand,Utah,"9,669",3684,
Iron,Utah,"57,289",3301,"Cedar City, UT Micropolitan Statistical Area"
Juab,Utah,"11,786",3406,"Provo-Orem, UT Metropolitan Statistical Area"
Kane,Utah,"7,667",4109,
Millard,Utah,"12,975",6828,
Morgan,Utah,"12,295",611,"Ogden-Clearfield, UT Metropolitan Statistical Area"
Piute,Utah,"1,438",766,
Rich,Utah,"2,510",1086,
Salt Lake,Utah,"1,185,238",807,"Salt Lake City, UT Metropolitan Statistical Area"
San Juan,Utah,"14,518",7933,
Sanpete,Utah,"28,437",1603,
Sevier,Utah,"21,522",1918,
Summit,Utah,"42,357",1882,"Heber, UT Micropolitan Statistical Area"
Tooele,Utah,"72,698",7286,"Salt Lake City, UT Metropolitan Statistical Area"
Uintah,Utah,"35,620",4501,"Vernal, UT Micropolitan Statistical Area"
Utah,Utah,"659,399",2144,"Provo-Orem, UT Metropolitan Statistical Area"
Wasatch,Utah,"34,788",1206,"Heber, UT Micropolitan Statistical Area"
Washington,Utah,"180,279",2430,"St. George, UT Metropolitan Statistical Area"
Wayne,Utah,"2,486",2466,
Weber,Utah,"262,223",659,"Ogden-Clearfield, UT Metropolitan Statistical Area"
Addison,Vermont,"37,363",2426,
Bennington,Vermont,"37,347",2461,"Bennington, VT Micropolitan Statistical Area"
Caledonia,Vermont,"30,233",576,
