,date
5549,2015-09-28
5550,2017-10-09
5551,2016-07-27
5552,2016-10-09
5553,2017-02-21
5554,2017-03-14
5555,2014-03-20
5556,2017-06-11
5557,2017-05-20
5558,2015-07-11
5559,2014-12-28
5560,2017-11-11
5561,
5562,
5563,2016-07-10
5564,2015-08-21
5565,2015-04-20
5566,2015-06-30
5567,2016-03-10
5568,2017-08-28
5569,2015-11-13
5570,
5571,
5572,2014-10-17
5573,2016-06-20
5574,2018-02-23
5575,
5576,2017-12-23
5577,2016-10-12
5578,2017-03-19
5579,2015-11-20
5580,2017-08-08
5581,
5582,2015-10-10
5583,2018-03-10
5584,2015-03-03
5585,2016-06-01
5586,
5587,2015-04-29
5588,
5589,
5590,
5591,2017-01-12
5592,2015-09-17
5593,2015-05-13
5594,
5595,2014-02-03
5596,2014-07-20
5597,2017-11-14
5598,2014-02-18
5599,2014-11-08
5600,
5601,2017-04-28
5602,2016-02-01
5603,2017-10-14
5604,2014-05-14
5605,
5606,2017-03-19
5607,2014-08-22
5608,2016-07-25
5609,2014-08-03
5610,2016-07-15
5611,2016-04-10
5612,
5613,2017-11-04
5614,2017-12-07
5615,2015-06-27
5616,2017-08-21
5617,2015-09-16
5618,2015-04-18
5619,2016-01-22
5620,2017-11-10
5621,2016-01-26
5622,2017-12-03
5623,2016-03-11
5624,2017-11-25
5625,2015-06-07
5626,2015-12-23
5627,2014-06-07
5628,2014-10-02
5629,2017-09-07
5630,2016-12-27
5631,2014-05-10
5632,2018-02-14
5633,2017-07-21
5634,2016-06-25
5635,2016-10-26
5636,2016-04-17
5637,2017-08-14
5638,
5639,2016-11-27
5640,2017-11-28
5641,2017-04-14
5642,
5643,2014-08-20
5644,2017-03-29
5645,2018-03-16
5646,
5647,2015-12-29
5648,2015-12-19
5649,2017-11-19
5650,
5651,2016-09-15
5652,2018-03-16
5653,2015-09-10
5654,2016-08-10
5655,2014-07-06
5656,2015-06-23
5657,2017-01-09
5658,2017-11-27
5659,2018-03-19
5660,2015-06-08
5661,2014-10-25
5662,2017-04-18
5663,2016-02-18
5664,2015-11-04
5665,2014-04-08
5666,2017-11-15
5667,2015-09-14
5668,
5669,2017-05-30
5670,2016-06-24
5671,2017-06-01
5672,2017-03-18
5673,2015-05-16
5674,2017-04-29
5675,2017-03-22
5676,2014-03-18
5677,2016-05-15
5678,2016-10-19
5679,2017-02-07
5680,
5681,2017-07-10
5682,2016-10-16
5683,2014-11-15
5684,2015-10-31
5685,2016-03-08
5686,2016-12-12
5687,
5688,2014-12-17
5689,2016-02-05
5690,2014-02-06
5691,2017-11-20
5692,2014-07-22
5693,2017-04-02
5694,2016-08-14
5695,2015-05-09
5696,2015-01-16
5697,2017-08-05
5698,2016-09-15
5699,2017-05-30
5700,2016-03-19
5701,2016-01-16
5702,2017-09-01
5703,2017-03-31
5704,2017-02-15
5705,2017-02-08
5706,2015-11-21
5707,2017-06-12
5708,2016-02-11
5709,2016-10-16
5710,2014-04-04
5711,2017-10-30
5712,2015-09-04
5713,2016-10-29
5714,2016-01-16
5715,2015-06-26
5716,2017-12-26
5717,2018-02-18
5718,2017-05-04
5719,2015-03-21
5720,2018-03-15
5721,2016-10-14
5722,2015-04-05
5723,2016-05-14
5724,2017-01-05
5725,2016-03-20
5726,2014-02-03
5727,2017-03-13
5728,2018-02-04
5729,2017-07-23
5730,2017-06-25
5731,
5732,2015-02-19
5733,2016-06-24
5734,2016-08-24
5735,2015-06-25
5736,2014-12-31
5737,2016-11-26
5738,2017-08-15
5739,2014-07-12
5740,
5741,2018-01-20
5742,
5743,2016-02-14
5744,2014-07-06
5745,
5746,2017-04-18
5747,2015-12-21
5748,2014-07-11
5749,2016-07-27
5750,2014-07-30
5751,2017-03-12
5752,2016-07-14
5753,2017-02-13
5754,2016-09-07
5755,2016-03-10
5756,2017-07-21
5757,2016-08-28
5758,2014-02-24
5759,2017-04-05
5760,
5761,2015-08-18
5762,
5763,2015-12-12
5764,2014-05-15
5765,2017-07-16
5766,2017-12-13
5767,2016-12-27
5768,2014-10-04
5769,
5770,2014-12-28
5771,2018-01-08
5772,2014-07-22
5773,2016-06-25
5774,2015-09-19
5775,2016-07-13
5776,2015-10-12
5777,2017-04-06
5778,2014-06-28
5779,2017-01-20
5780,2015-12-03
5781,2017-12-28
5782,2014-05-22
5783,2017-02-23
5784,2014-08-07
5785,2017-04-01
5786,2016-06-14
5787,2016-12-05
5788,2016-03-12
5789,2016-06-19
5790,2016-11-20
5791,2015-06-06
5792,2015-09-25
5793,2014-11-30
5794,2014-12-30
5795,2014-01-01
5796,2014-09-25
5797,2016-10-24
5798,2014-12-16
5799,2016-09-02
5800,2014-10-21
5801,2016-11-21
5802,2016-10-01
5803,2014-08-24
5804,2015-01-06
5805,2016-12-30
5806,2017-05-05
5807,2014-09-17
5808,2015-06-05
5809,2015-04-02
5810,2014-02-14
5811,2016-10-25
5812,2015-01-22
5813,2016-11-02
5814,2018-02-11
5815,2016-05-03
5816,2015-07-31
5817,2014-03-24
5818,2016-12-31
5819,2016-01-13
5820,2016-08-07
5821,2014-08-07
5822,
5823,2016-03-13
5824,2014-02-16
5825,2017-06-07
5826,2017-09-16
5827,2016-10-13
5828,2016-05-21
5829,
5830,2017-02-05
5831,
5832,2017-04-07
5833,2014-09-14
5834,2017-02-17
5835,2014-04-27
5836,
5837,2014-02-24
5838,2016-04-17
5839,2017-05-07
5840,2017-08-13
5841,2015-03-11
5842,2016-08-20
5843,2016-01-23
5844,2017-07-17
5845,2018-01-03
5846,2017-09-26
5847,2015-07-24
5848,2018-02-01
5849,2015-11-05
5850,
5851,2016-02-14
5852,2017-09-18
5853,
5854,2014-11-30
5855,2014-02-01
5856,2014-07-06
5857,2016-11-16
5858,2017-03-25
5859,2016-03-19
5860,2017-03-20
5861,2016-11-25
5862,2017-01-07
5863,2015-03-13
5864,2016-10-04
5865,2016-11-05
5866,2016-11-22
5867,2016-07-08
5868,2015-06-19
5869,2017-03-13
5870,2016-11-29
5871,2017-12-30
5872,2017-11-23
5873,2016-02-21
5874,2015-01-20
5875,2016-01-29
5876,2015-05-19
5877,2018-01-17
5878,2017-12-03
5879,2015-04-08
5880,2018-02-27
5881,
5882,2016-04-30
5883,2014-01-13
5884,2014-11-06
5885,2017-08-27
5886,2017-05-02
5887,2014-04-14
5888,
5889,2016-01-16
5890,2014-06-25
5891,2016-10-05
5892,2015-03-27
5893,
5894,2015-07-30
5895,2016-01-26
5896,2017-05-25
5897,2017-10-01
5898,2015-06-14
5899,2016-08-08
5900,2018-03-24
5901,2017-01-27
5902,2014-09-17
5903,2016-02-16
5904,2015-06-12
5905,2017-07-19
5906,2014-10-31
5907,2016-01-31
5908,2017-11-15
5909,2016-05-09
5910,2016-01-18
5911,2017-03-10
5912,2018-01-30
5913,2016-12-16
5914,2015-06-15
5915,
5916,2015-12-28
5917,2017-08-01
5918,2014-12-03
5919,
5920,2015-01-31
5921,2014-11-09
5922,
5923,
5924,2014-03-11
5925,
5926,2016-09-02
5927,2014-03-27
5928,2016-07-04
5929,2017-11-11
5930,
5931,2018-02-24
5932,2015-03-03
5933,2017-08-21
5934,2017-06-01
5935,2017-08-04
5936,2017-08-15
5937,2015-10-05
5938,2017-08-31
5939,2017-05-07
5940,2017-08-08
5941,2016-02-02
5942,2016-03-12
5943,
5944,2015-11-06
5945,2017-11-24
5946,2015-06-13
5947,2018-03-30
5948,2015-04-15
5949,2017-12-04
5950,2016-04-10
5951,2016-05-23
5952,2015-07-22
5953,2016-11-27
5954,2016-10-30
5955,2016-12-02
5956,2016-06-05
5957,2017-05-17
5958,2014-05-31
5959,2017-01-21
5960,2016-10-18
5961,2017-12-29
5962,2014-08-06
5963,2015-01-19
5964,2017-12-14
5965,2016-01-11
5966,2017-03-04
5967,2016-07-20
5968,2015-12-21
5969,2015-08-23
5970,2017-07-20
5971,
5972,
5973,2017-06-02
5974,2014-05-22
5975,2017-02-13
5976,2016-03-18
5977,2014-11-27
5978,
5979,2017-04-12
5980,2014-08-17
5981,2017-04-02
5982,2017-02-19
5983,2017-06-14
5984,
5985,2015-12-23
5986,2016-11-18
5987,2017-06-17
5988,2017-06-24
5989,2017-08-02
5990,2017-12-17
5991,2015-06-18
5992,
5993,2017-04-25
5994,2018-02-02
5995,2016-06-21
5996,2014-08-18
5997,2015-10-22
5998,2016-07-24
5999,2017-08-13
6000,2015-10-02
6001,2018-01-05
6002,
6003,2017-12-25
6004,2016-02-19
6005,2017-12-19
6006,2014-11-27
6007,
6008,
6009,2016-01-30
6010,2017-03-17
6011,
6012,2016-08-24
6013,2016-10-27
6014,2017-10-01
6015,2016-08-05
6016,2016-10-22
6017,2017-05-11
6018,2014-08-30
6019,2014-12-24
6020,2015-05-24
6021,2015-04-18
6022,2017-11-04
6023,2018-02-16
6024,2014-07-05
6025,2016-10-11
6026,
6027,2015-12-06
6028,2017-05-07
6029,2017-03-14
6030,2017-08-04
6031,2014-08-31
6032,2014-09-18
6033,2017-10-07
6034,2017-10-27
6035,2017-09-01
6036,2018-01-27
6037,2017-09-24
6038,2016-07-19
6039,2016-12-17
6040,2014-06-01
6041,2015-10-20
6042,2015-12-16
6043,2014-03-09
6044,2016-05-31
6045,2017-09-25
6046,
6047,
6048,2018-03-03
6049,2014-08-23
6050,2017-07-27
6051,2016-11-30
6052,
6053,2016-05-06
6054,2017-05-07
6055,2017-08-12
6056,
6057,2017-07-03
6058,2016-01-06
6059,2017-06-27
6060,2014-04-25
6061,2015-08-16
6062,2014-05-26
6063,
6064,2018-01-22
6065,2016-09-02
6066,2017-04-27
6067,2016-08-27
6068,2016-04-12
6069,2015-11-13
6070,
6071,2015-01-02
6072,
6073,
6074,2016-06-13
6075,2014-05-19
6076,2016-02-12
6077,
6078,2015-12-07
6079,2015-06-03
6080,2015-11-23
6081,
6082,2017-08-27
6083,2014-09-03
6084,2017-08-07
6085,2016-06-24
6086,2017-10-06
6087,2017-04-02
6088,2017-04-03
6089,2016-01-22
6090,2016-01-09
6091,2017-12-09
6092,
6093,2014-10-10
6094,2016-01-08
6095,2014-09-10
6096,2016-10-11
6097,2016-02-15
6098,2014-03-04
6099,2016-01-10
6100,2015-05-24
6101,2017-06-26
6102,2017-11-16
6103,2016-02-23
6104,2018-03-28
6105,2014-01-05
6106,2016-09-15
6107,2017-01-02
6108,
6109,2018-01-14
6110,2017-09-19
6111,2016-04-12
6112,
6113,2016-05-31
6114,2016-10-15
6115,2015-04-24
6116,2016-04-01
6117,2017-03-22
6118,2016-12-11
6119,2016-05-17
6120,
6121,
6122,2017-11-06
6123,2018-03-21
6124,2015-04-03
6125,2017-06-27
6126,2017-02-21
6127,2015-06-16
6128,2017-07-27
6129,2016-01-01
6130,2016-12-18
6131,2018-01-03
6132,2015-05-12
6133,2016-03-05
6134,2014-03-31
6135,2018-02-28
6136,2015-02-27
6137,2015-12-14
6138,2016-03-27
6139,2017-01-15
6140,2015-07-28
6141,2014-05-19
6142,2016-03-12
6143,2016-09-29
6144,2017-12-26
6145,
6146,2015-07-04
6147,2018-02-04
6148,2017-07-15
6149,2017-02-04
6150,2015-08-05
6151,2016-10-22
6152,2015-11-30
6153,
6154,2016-11-20
6155,
6156,2014-10-26
6157,2017-09-27
6158,
6159,2017-01-13
6160,2014-05-19
6161,2014-10-02
6162,2016-11-16
6163,2017-09-15
6164,2017-09-21
6165,2017-12-18
6166,2017-05-08
6167,2017-11-07
6168,2014-01-31
6169,
6170,2014-08-28
6171,2017-12-14
6172,2014-07-18
6173,2016-12-09
6174,2016-05-14
6175,2016-08-15
6176,2017-12-26
6177,2015-06-26
6178,2014-07-14
6179,2016-06-15
6180,2014-09-12
6181,2016-07-27
6182,2018-02-06
6183,2016-11-29
6184,2017-07-01
6185,2017-06-07
6186,
6187,2014-06-04
6188,2014-04-17
6189,2014-12-15
6190,2017-10-07
6191,2015-03-27
6192,2016-06-19
6193,2017-06-19
6194,
6195,2014-10-25
6196,
6197,2014-02-03
6198,2017-02-03
6199,
6200,2017-03-08
6201,2017-06-15
6202,2014-09-16
6203,2013-05-23
6204,
6205,2017-11-28
6206,2015-07-25
6207,2015-02-27
6208,2018-01-28
6209,2017-06-22
6210,2015-09-22
6211,2016-06-08
6212,2015-12-07
6213,2014-03-15
6214,2015-12-25
6215,2016-11-03
6216,2017-09-03
6217,2016-10-29
6218,2017-10-13
6219,2014-06-24
6220,2016-01-16
6221,2015-10-01
6222,2016-01-04
6223,2017-03-10
6224,2014-09-14
6225,2016-08-10
6226,2017-05-06
6227,2015-05-10
6228,2016-04-15
6229,2014-04-06
6230,2016-11-23
6231,2014-06-20
6232,2017-04-06
6233,2017-09-29
6234,2017-04-01
6235,2015-11-14
6236,2015-06-05
6237,2016-02-03
6238,
6239,2015-08-18
6240,2016-08-27
6241,2016-01-04
6242,2017-07-27
6243,2016-04-03
6244,2015-06-04
6245,2016-01-01
6246,2016-11-02
6247,2016-12-23
6248,2014-05-24
6249,2017-07-08
6250,2016-01-13
6251,2017-07-07
6252,2014-10-30
6253,2014-10-09
6254,2017-08-01
6255,2017-01-31
6256,2017-06-25
6257,2016-07-11
6258,2014-10-02
6259,2017-10-15
6260,2016-12-25
6261,2017-01-09
6262,2016-07-24
6263,2017-10-27
6264,2014-11-05
6265,
6266,2015-04-29
6267,2017-09-19
6268,2015-02-15
6269,2016-02-15
6270,2014-05-12
6271,2015-04-20
6272,2014-11-16
6273,2015-05-02
6274,2015-07-14
6275,2017-07-12
6276,2014-02-01
6277,2017-01-01
6278,2017-06-08
6279,2014-12-09
6280,2017-06-11
6281,2016-09-28
6282,2014-10-12
6283,2015-01-12
6284,2015-02-10
6285,2016-03-31
6286,2014-02-25
6287,2015-09-19
6288,2016-04-22
6289,
6290,2016-01-23
6291,
6292,2016-05-23
6293,2017-07-15
6294,2016-04-05
6295,2017-02-14
6296,2016-07-31
6297,2015-11-01
6298,2016-08-23
6299,
6300,2014-05-03
6301,2015-03-07
6302,2018-02-20
6303,2015-03-31
6304,2017-01-16
6305,
6306,
6307,2016-08-04
6308,2017-04-29
6309,2017-07-20
6310,2014-01-29
6311,2015-07-27
6312,2014-06-22
6313,2016-05-11
6314,2015-01-06
6315,2014-06-01
6316,2016-11-19
6317,2017-06-26
6318,2015-05-23
6319,2016-02-18
6320,2017-12-27
6321,2016-10-05
6322,2016-01-08
6323,2016-02-21
6324,2017-04-18
6325,2015-05-19
6326,2015-11-12
6327,2017-04-22
6328,2014-11-06
6329,2015-11-13
6330,2016-06-16
6331,2016-07-31
6332,2016-04-27
6333,2017-07-09
6334,2014-08-30
6335,2014-11-13
6336,2015-07-15
6337,2016-02-17
6338,2017-01-05
6339,2014-11-19
6340,2014-04-23
6341,2017-03-02
6342,2017-04-17
6343,2016-12-21
6344,2017-10-03
6345,2016-06-01
6346,2017-10-17
6347,2016-12-02
6348,2016-12-10
6349,2017-08-22
6350,
6351,2017-09-13
6352,2014-07-15
6353,2014-01-22
6354,2015-07-16
6355,2016-03-05
6356,2016-04-15
6357,2017-09-07
6358,2015-09-09
6359,2016-06-11
6360,2015-11-27
6361,
6362,2018-02-07
6363,2014-02-10
6364,2018-02-21
6365,2015-01-18
6366,2016-04-18
6367,2015-08-16
6368,2016-05-30
6369,2015-04-13
6370,2018-01-27
6371,2015-01-29
6372,2017-05-12
6373,2014-10-14
6374,2016-09-24
6375,2014-11-15
6376,2017-05-16
6377,2017-12-10
6378,2014-08-03
6379,2016-11-05
6380,2015-11-16
6381,
6382,
6383,2015-07-02
6384,2016-04-03
6385,2015-01-14
6386,2014-01-20
6387,2017-03-30
6388,2014-01-17
6389,2015-07-27
6390,2016-11-25
6391,
6392,2014-04-03
6393,2017-07-09
6394,2014-11-24
6395,2014-10-16
6396,2016-01-09
6397,2017-06-26
6398,2017-02-12
6399,2014-12-30
6400,2017-07-08
6401,2015-03-24
6402,2016-10-19
6403,2014-12-26
6404,
6405,2017-06-04
6406,2017-02-10
6407,2014-05-18
6408,2018-03-10
6409,2017-10-12
6410,2015-07-07
6411,2017-06-06
6412,2017-08-24
6413,2017-09-03
6414,2015-01-01
6415,2014-12-30
6416,
6417,2015-02-08
6418,2018-01-10
6419,2016-01-14
6420,2015-01-06
6421,2014-12-21
6422,
6423,2015-08-12
6424,2017-11-05
6425,2016-10-05
6426,2014-03-22
6427,2017-11-05
6428,2015-02-27
6429,2016-07-05
6430,2018-03-26
6431,2016-07-30
6432,2015-02-07
6433,2014-07-20
6434,
6435,
6436,2016-12-03
6437,2015-01-18
6438,
6439,2015-10-24
6440,2016-10-25
6441,2015-11-09
6442,2017-11-21
6443,2016-09-18
6444,2015-05-07
6445,
6446,2017-04-19
6447,2014-07-26
6448,2017-09-20
6449,2015-04-04
6450,2014-10-30
6451,
6452,2015-05-27
6453,2017-12-25
6454,2015-10-24
6455,2017-01-08
6456,2016-05-11
6457,2017-03-05
6458,2018-01-07
6459,2016-04-25
6460,2016-06-28
6461,2016-04-29
6462,2015-05-08
6463,2017-06-13
6464,2015-08-06
6465,
6466,
6467,2015-06-30
6468,2017-09-29
6469,2018-03-04
6470,2017-03-21
6471,2016-02-18
6472,2015-09-14
6473,2018-01-22
6474,2015-06-12
6475,2016-04-08
6476,2015-07-08
6477,2017-07-16
6478,2017-04-12
6479,2016-06-05
6480,2017-01-01
6481,2015-05-18
6482,2017-08-20
6483,2014-05-01
6484,2017-01-27
6485,2014-04-05
6486,2017-11-09
6487,2014-06-20
6488,2017-06-11
6489,2016-10-24
6490,2015-04-01
6491,2018-02-26
6492,2014-12-09
6493,2017-11-07
6494,2014-07-30
6495,2017-07-26
6496,2017-10-21
6497,2017-09-26
6498,2015-12-17
6499,2016-05-06
6500,2016-11-13
6501,2016-01-03
6502,2017-05-20
6503,
6504,2016-03-19
6505,2014-11-26
6506,2016-09-20
6507,2017-03-01
6508,2017-11-01
6509,2015-09-16
6510,2015-06-15
6511,2017-04-04
6512,2015-06-17
6513,2015-10-11
6514,2015-12-13
6515,2016-07-29
6516,2015-07-05
6517,2014-05-15
6518,2017-02-08
6519,2016-12-09
6520,2018-02-27
6521,2015-09-20
6522,2016-03-21
6523,2016-02-03
6524,2017-05-23
6525,2017-07-16
6526,2016-07-08
6527,2017-05-28
6528,2017-09-23
6529,2015-06-19
6530,2017-06-23
6531,2017-07-21
6532,2014-07-04
6533,2017-05-07
6534,2015-08-24
6535,
6536,2016-09-06
6537,
6538,2017-06-26
6539,
6540,2014-10-20
6541,2017-03-12
6542,2015-03-05
6543,2016-02-01
6544,2014-07-09
6545,2014-03-03
6546,2017-11-21
6547,2015-06-28
6548,2016-04-29
6549,
6550,2014-08-03
6551,2017-10-13
6552,
6553,
6554,2017-04-12
6555,2017-10-18
6556,2015-10-02
6557,2016-03-17
6558,2015-11-28
6559,
6560,2014-06-17
6561,2017-01-13
6562,2015-06-09
6563,2015-01-06
6564,2016-12-27
6565,2017-02-14
6566,2016-10-31
6567,2015-02-20
6568,2016-03-18
6569,2017-01-26
6570,2017-03-09
6571,2015-09-23
6572,2015-02-27
6573,2016-07-25
6574,2017-11-03
6575,2016-09-21
6576,2014-02-17
6577,
6578,2016-01-24
6579,2017-01-14
6580,2014-08-04
6581,2018-01-27
6582,2016-01-09
6583,2016-08-19
6584,2014-11-19
6585,2016-01-03
6586,2018-01-02
6587,2017-04-09
6588,2015-10-29
6589,2016-09-27
6590,2017-10-04
6591,2016-01-03
6592,2015-07-27
6593,2014-05-24
6594,2018-02-04
6595,2018-02-28
6596,
6597,2016-10-26
6598,2017-03-01
6599,2015-01-05
6600,
6601,2016-09-13
6602,2014-11-02
6603,2017-03-25
6604,2016-11-26
6605,2015-03-26
6606,
6607,2017-05-05
6608,2016-03-13
6609,2016-04-13
6610,2015-12-01
6611,2017-01-22
6612,2016-08-08
6613,2014-10-17
6614,
6615,2016-03-09
6616,2014-06-19
6617,2014-02-26
6618,2015-09-16
6619,2018-02-13
6620,2017-10-23
6621,
6622,2016-03-30
6623,
6624,2016-11-19
6625,
6626,2015-10-14
6627,2015-05-04
6628,2017-04-08
6629,2017-06-26
6630,2015-05-02
6631,2016-12-08
6632,2016-03-05
6633,2017-10-20
6634,
6635,2017-06-01
6636,2015-04-15
6637,2015-10-16
6638,
6639,
6640,2017-01-18
6641,2014-12-15
6642,2017-02-28
6643,2017-06-01
6644,2017-11-26
6645,2017-03-29
6646,2014-08-12
6647,2017-04-11
6648,2016-06-18
6649,2016-05-21
6650,2017-07-10
6651,2017-06-30
6652,2017-01-25
6653,2017-12-22
6654,2015-12-27
6655,
6656,2016-12-28
6657,2016-08-25
6658,2017-05-23
6659,2015-09-26
6660,2017-11-11
6661,2015-10-20
6662,2014-03-19
6663,2014-03-06
6664,2017-05-16
6665,2016-09-24
6666,2014-07-20
6667,2017-01-25
6668,2018-02-09
6669,2017-08-22
6670,
6671,
6672,2014-06-18
6673,2017-05-27
6674,2018-01-23
6675,2016-11-07
6676,2017-11-24
6677,
6678,2016-08-31
6679,2017-08-30
6680,2015-09-05
6681,2016-10-19
6682,2015-08-24
6683,2014-09-21
6684,2015-08-04
6685,2016-09-01
6686,2016-03-19
6687,2017-07-07
6688,2016-09-02
6689,2014-03-14
6690,2017-12-10
6691,2017-04-11
6692,2017-05-03
6693,
6694,2017-07-26
6695,2016-07-11
6696,2016-07-14
6697,2015-09-14
6698,2014-09-06
6699,2017-09-23
6700,2016-04-20
6701,2016-01-10
6702,2017-06-20
6703,2016-04-27
6704,2017-11-15
6705,2017-08-11
6706,
6707,2018-02-27
6708,2015-09-10
6709,2016-09-14
6710,2017-07-12
6711,2015-06-29
6712,2015-04-29
6713,2015-12-23
6714,2017-04-14
6715,2017-04-09
6716,2017-01-05
6717,2013-06-15
6718,2017-11-05
6719,2014-11-21
6720,2015-04-07
6721,2014-05-29
6722,2018-02-21
6723,2014-01-13
6724,2014-04-16
6725,2014-04-16
6726,2018-01-21
6727,2017-06-04
6728,
6729,2015-06-17
6730,
6731,2015-02-04
6732,2018-03-25
6733,2016-05-28
6734,2017-02-05
6735,2016-11-09
6736,2016-09-22
6737,2016-12-31
6738,2015-05-25
6739,2017-07-22
6740,
6741,2017-09-19
6742,2017-10-18
6743,2016-04-16
6744,2016-05-12
6745,
6746,2014-12-27
6747,2017-06-05
6748,2014-06-07
6749,2015-04-30
6751,2015-05-07
6752,2017-07-06
6753,2016-08-27
6754,2017-12-28
6755,2015-12-23
6756,2016-02-19
6757,2016-08-05
6758,2016-07-23
6759,2017-12-25
6760,2015-11-23
6761,2015-02-21
6762,2015-12-08
6763,2017-10-29
6764,2016-08-31
6765,2016-02-18
6766,2015-08-29
6767,2015-04-02
6768,2015-04-30
6769,2018-01-01
6770,2017-07-01
6771,2015-06-17
6772,2017-07-24
6773,2017-09-19
6774,2015-12-21
6775,2017-07-06
6776,2014-11-10
6777,
6778,2016-02-28
6779,2015-05-17
6780,2015-04-08
6781,2015-02-09
6782,2017-04-11
6783,2017-12-16
6784,2017-11-20
6785,2016-03-27
6786,2014-05-14
6787,2017-02-12
6788,2016-03-09
6789,2015-09-11
6790,
6791,2016-05-18
6792,2015-03-03
6793,2016-07-26
6794,2015-12-22
6795,2016-04-16
6796,2018-02-21
6797,2016-09-09
6798,2018-02-17
6799,2014-05-03
6800,
6801,
6802,2017-10-14
6803,
6804,2016-03-10
6805,2017-01-01
6806,2016-07-28
6807,2018-02-25
6808,2017-01-01
6809,2017-06-23
6810,2015-08-01
6811,
6812,2016-01-04
6813,2017-02-26
6814,2017-12-31
6815,2016-02-03
6816,2014-08-06
6817,2014-04-18
6818,
6819,2015-01-03
6820,2016-11-20
6821,2017-07-04
6822,2014-03-31
6823,2017-02-09
6824,2014-10-07
6825,
6826,2016-09-06
6827,2018-01-08
6828,2017-08-15
6829,2014-09-05
6830,
6831,
6832,2017-11-06
6833,2017-02-02
6834,2015-04-19
6835,
6836,2017-04-03
6837,2015-10-24
6838,2017-05-17
6839,2017-05-14
6840,2015-05-15
6841,2017-05-28
6842,2017-02-04
6843,2016-07-17
6844,2017-03-17
6845,2017-11-20
6846,2016-05-02
6847,2015-06-28
6848,2016-07-19
6849,2017-05-27
6850,
6851,2015-03-29
6852,2018-02-10
6853,2014-06-30
6854,2015-10-05
6855,2014-10-02
6856,2017-03-25
6857,2015-07-01
6858,
6859,2016-12-12
6860,2017-07-03
6861,2015-06-22
6862,2017-10-23
6863,2016-05-23
6864,2015-12-28
6865,2015-02-21
6866,2017-09-26
6867,
6868,2016-07-22
6869,2015-12-26
6870,2016-12-18
6871,
6872,
6873,2016-08-27
6874,2016-08-11
6875,2014-01-31
6876,2014-11-06
6877,2016-04-23
6878,2017-12-23
6879,2017-03-28
6880,
6881,2016-07-15
6882,2015-02-24
6883,2018-03-21
6884,2014-01-24
6885,
6886,2016-03-22
6887,2015-01-09
6888,2014-06-04
6889,
6890,2014-06-22
6891,2014-05-31
6892,2014-10-25
6893,2014-02-09
6894,2014-04-14
6895,2015-07-17
6896,2015-02-01
6897,2018-03-02
6898,
6899,2016-03-12
6900,2014-03-16
6901,2015-05-23
6902,2017-06-21
6903,2016-10-22
6904,2017-05-25
6905,2016-01-26
6906,2017-02-28
6907,2017-02-20
6908,2014-08-10
6909,2014-12-31
6910,2015-11-17
6911,2014-07-11
6912,2014-01-15
6913,2015-04-10
6914,2014-05-11
6915,2018-02-09
6916,2015-05-24
6917,2014-07-25
6918,2016-12-22
6919,2018-03-20
6920,2017-05-02
6921,2014-02-26
6922,2014-04-01
6923,2014-11-02
6924,2015-02-14
6925,2017-05-03
6926,2017-04-08
6927,2016-03-20
6928,2017-07-16
6929,2015-03-29
6930,2017-11-10
6931,2017-09-22
6932,2017-06-24
6933,2016-01-19
6934,2016-07-06
6935,2015-09-24
6936,2014-12-03
6937,2017-12-12
6938,2016-09-08
6939,2016-02-27
6940,2015-07-02
6941,2016-11-03
6942,2017-04-04
6943,2015-11-07
6944,2015-01-09
6945,2016-09-29
6946,2014-08-16
6947,2015-08-31
6948,2017-04-26
6949,2017-03-14
6950,2016-03-13
6951,2016-10-14
6952,
6953,2014-12-22
6954,
6955,2015-05-21
6956,2016-04-29
6957,2015-06-17
6958,2015-08-22
6959,2016-09-21
6960,
6961,2016-03-10
6962,
6963,2016-10-15
6964,2016-05-08
6965,2014-06-30
6966,
6967,2015-06-17
6968,2015-03-30
6969,2017-04-03
6970,2014-08-12
6971,2017-03-16
6972,2017-09-05
6973,2015-03-02
6974,2016-03-14
6975,2014-12-06
6976,
6977,2017-05-09
6978,2018-03-16
6979,2014-03-02
6980,2015-09-28
6981,2017-09-23
6982,2017-03-05
6983,2017-11-12
6984,2016-04-17
6985,2014-02-06
6986,2017-03-04
6987,2014-09-18
6988,2015-12-27
6989,
6990,2016-11-04
6991,2014-04-24
6992,2017-07-20
6993,2018-02-19
6994,2017-11-05
6995,2015-08-31
6996,2016-03-27
6997,2014-11-12
6998,2017-10-07
6999,2015-05-28
7000,2016-05-22
7001,2014-07-24
7002,2017-12-11
7003,2016-07-15
7004,2016-10-15
7005,2016-01-13
7006,2015-01-23
7007,2017-01-01
7008,2016-09-05
7009,2018-02-10
7010,2015-02-12
7011,2015-05-11
7012,2016-07-19
7013,2015-05-17
7014,
7015,2014-07-08
7016,2015-12-19
7017,2015-07-20
7018,2014-02-06
7019,2017-05-08
7020,2014-10-01
7021,2015-01-14
7022,2014-04-12
7023,2017-06-22
7024,2016-05-06
7025,2017-04-20
7026,2015-12-09
7027,2015-07-13
7028,2014-02-24
7029,2017-02-17
7030,2017-05-22
7031,2016-11-02
7032,2016-03-29
7033,2016-07-31
7034,2017-04-09
7035,2014-07-23
7036,
7037,2017-02-24
7038,2015-01-06
7039,
7040,2014-02-19
7041,2014-05-27
7042,2017-12-20
7043,2015-07-14
7044,2017-02-04
7045,
